Indv_ID,Number of Root Tips,Width-to-Depth Ratio,Solidity,Average Diameter,Volume,Holes,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_379,397,0.407800667,0.172687,13.05606667,10610000,328,52.03253333,0.248857667,0.288038,0.463103667,0.242242667,0.343721667,0.414035667
160_271_198,334,0.299156667,0.214042667,14.33483333,10110000,213,55.45956667,0.211631,0.256189333,0.532179333,0.220360667,0.360936667,0.418702667
160_271_14,251.3333333,0.504062,0.169862667,14.37463333,7580000,194.3333333,52.82006667,0.231506667,0.29846,0.470033333,0.217336667,0.352096667,0.430567333
160_271_153,326,0.380534667,0.122927,13.7062,7990000,170.6666667,56.32836667,0.199168667,0.263023667,0.537807667,0.215645,0.343051667,0.441303333
160_271_12,266.3333333,0.542334333,0.145804333,17.16113333,12633333.33,162.6666667,53.9314,0.220932333,0.292720667,0.486346667,0.213088333,0.336739333,0.450171333
160_271_320,146,0.243792333,0.149557667,18.44883333,4836666.667,65.66666667,57.49846667,0.190902333,0.250477667,0.55862,0.202111333,0.329837,0.468051333
160_271_131,389.3333333,0.298705,0.262322667,15.21463333,13093333.33,242,56.59426667,0.213764333,0.220925333,0.56531,0.194552333,0.327962333,0.477485667
160_271_58,57.33333333,0.642749,0.152400667,21.92673333,5450000,10,55.2931,0.218556,0.253563,0.527880667,0.1399661,0.383006333,0.477028
160_271_392,264.6666667,0.392305,0.15701,15.4364,9560000,115.6666667,55.71783333,0.196510667,0.277939333,0.52555,0.203709,0.314844667,0.481446333
160_271_174,200.6666667,0.242168333,0.179645667,14.18083333,5383333.333,85.33333333,57.6069,0.188964667,0.244755667,0.566279667,0.187825333,0.356508667,0.455666
160_271_27,204,0.47951,0.150366333,18.90036667,12890000,74,56.22826667,0.195406667,0.268920333,0.535673,0.170569333,0.350864333,0.478566667
160_271_193,351.3333333,0.386191,0.201710667,16.44613333,12676666.67,193.3333333,58.00263333,0.195345667,0.223283667,0.581370333,0.194463,0.330138333,0.475398667
160_271_17,59.66666667,0.502032667,0.219069,28.24273333,9926666.667,18.33333333,56.53683333,0.215266667,0.241979667,0.542753,0.146549333,0.368026333,0.485424667
160_271_11,213.6666667,0.755671333,0.124413667,15.22673333,5880000,90,51.00483333,0.245865333,0.326259,0.427875667,0.206259667,0.301019667,0.492720667
160_271_374,115.3333333,0.457792667,0.185215667,23.35166667,7990000,26.33333333,55.08206667,0.213166,0.280020667,0.506813333,0.178499667,0.328987667,0.492513
160_271_180,213.6666667,0.601665333,0.1393502,17.77376667,9573333.333,76.33333333,55.78463333,0.213439,0.248347,0.538213667,0.194324333,0.329734667,0.475941
160_271_62,199.3333333,0.445461667,0.148316633,21.01203333,14000000,73.33333333,55.70396667,0.215710333,0.243702333,0.540587333,0.152757,0.341805667,0.505437333
160_271_371,193.6666667,0.616247333,0.139739667,17.0648,9713333.333,98.66666667,53.6748,0.233221333,0.283124333,0.483654333,0.193791,0.321979667,0.484229
160_271_15,114,0.710595,0.1230387,18.9087,7876666.667,28.33333333,57.4992,0.172537367,0.286814,0.540649,0.139655333,0.377432667,0.482911667
160_271_20,246,0.624476333,0.167976,17.38393333,13626666.67,141.6666667,54.26603333,0.215354,0.284098667,0.500547333,0.185613,0.332740333,0.481646667
160_271_33,158.3333333,0.353844333,0.203011,23.16806667,10820000,48.66666667,55.35346667,0.202961333,0.268647,0.528391667,0.181079667,0.319838667,0.499081667
160_271_151,222,0.425345,0.139332367,15.09086667,8533333.333,99.33333333,57.7208,0.176932,0.258668333,0.5644,0.198757333,0.301585333,0.499657333
160_271_172,112.6666667,0.389924,0.165282233,20.87413333,9503333.333,28.66666667,60.36566667,0.166873667,0.196251,0.636875667,0.159298333,0.346499667,0.494202
160_271_173,168.3333333,0.483084333,0.149151333,19.00956667,11430000,74.66666667,53.44783333,0.227129333,0.283734,0.489136667,0.170641667,0.329688,0.499670333
160_271_326,248,0.411715667,0.147074033,16.80526667,11203333.33,110.3333333,57.48903333,0.186343333,0.235707,0.577949333,0.174306333,0.306266333,0.519427
160_271_375,126.6666667,0.433189333,0.180435667,21.8657,9830000,31.33333333,56.72903333,0.198248,0.259233667,0.542518,0.193407,0.304305333,0.502288
160_271_372,163.3333333,0.389587,0.207650333,22.3736,12800000,72.33333333,56.44626667,0.196598,0.257849333,0.545552667,0.150182333,0.334312667,0.515504667
160_271_127,276.3333333,0.531978333,0.254949667,21.07,21866666.67,189.3333333,49.0343,0.279037333,0.316406333,0.404557,0.172649,0.309113,0.518237667
160_271_183,162.6666667,0.651617,0.183405667,20.50783333,11270000,63,47.81643333,0.275052333,0.339228,0.38572,0.176621667,0.324387333,0.498991333
160_271_148,160,0.352096,0.149193,21.07703333,10043333.33,73.33333333,54.14393333,0.227447667,0.269249667,0.503302667,0.166257667,0.312657333,0.521085
160_271_73,258,0.399113,0.234363,25.1175,19000000,134.3333333,52.6681,0.246081667,0.274707,0.479210667,0.196597333,0.286307333,0.517095333
160_271_125,307.3333333,0.471758,0.201776667,18.6424,20233333.33,237.3333333,52.7113,0.245212667,0.264811,0.489976333,0.167969667,0.309896667,0.522133667
160_271_44,268.6666667,0.369365333,0.237439,21.34853333,25233333.33,238,54.81753333,0.221486,0.263637667,0.514876,0.166381,0.310456,0.523163333
160_271_136,46.33333333,0.428542333,0.183410233,26.14236667,6316666.667,10.66666667,59.74266667,0.157466333,0.240621333,0.601912667,0.130728567,0.351627333,0.517644
160_271_19,94.33333333,0.514843,0.126557667,21.54743333,11620000,35.66666667,56.66183333,0.183249,0.278310667,0.53844,0.1421,0.326411,0.531488667
160_271_50,292.3333333,0.53375,0.218409,21.4352,26033333.33,140,52.40923333,0.244875333,0.275012,0.480112333,0.164520333,0.298639333,0.536840333
160_271_194,75,0.490963,0.167821,26.4024,9026666.667,21.33333333,53.34803333,0.221280333,0.308932,0.469787667,0.1358674,0.322040667,0.542092
160_271_67,436.6666667,0.4432,0.255596333,18.44826667,32400000,342.6666667,51.6156,0.249321333,0.294708,0.455970667,0.16197,0.306009667,0.53202
160_271_75,349,0.594459,0.204784,19.5883,36766666.67,405.6666667,51.7905,0.24406,0.307767,0.448173,0.151039,0.312160333,0.536800667
160_271_394,161.3333333,0.633377333,0.195681333,21.14156667,11530000,74,50.0495,0.279206,0.294608,0.426186,0.132933733,0.319318,0.547748333
160_271_385,178,0.412012667,0.180657133,22.72306667,12133333.33,61.66666667,56.18173333,0.221232333,0.236684,0.542084333,0.1511951,0.319088333,0.529716333
160_271_177,116.6666667,0.589397333,0.133068333,24.67193333,10183333.33,21.66666667,55.9775,0.179476333,0.311386667,0.509137,0.123502733,0.292399667,0.584098
160_271_169,234.6666667,0.597485333,0.172946,18.01503333,11700000,101.6666667,54.89696667,0.189999667,0.325952667,0.484047667,0.1384403,0.311862333,0.549697333
160_271_357,127.6666667,0.594678,0.159876,24.07053333,14666666.67,78,52.4654,0.222706667,0.316873667,0.46042,0.133629933,0.321191333,0.545178667
160_271_7,197.6666667,0.544554333,0.148296667,17.2884,8156666.667,93.66666667,55.71876667,0.201371333,0.264966333,0.533662333,0.188319,0.259664333,0.552016667
160_271_166,320.6666667,0.374819,0.266644333,19.92863333,15210000,238,52.3724,0.257794667,0.268333333,0.473871667,0.164575333,0.280580667,0.554844333
160_271_181,204.6666667,0.602747333,0.173333667,19.3907,15813333.33,92.66666667,54.6135,0.209299,0.280978,0.509723,0.159690333,0.279759,0.560550667
160_271_209,191.3333333,0.484001,0.240034333,22.54283333,11433333.33,50.33333333,56.09976667,0.211159667,0.240846,0.547994,0.121975,0.303956,0.574069333
160_271_134,109.6666667,0.432181667,0.256787667,30.25866667,16166666.67,46,50.99973333,0.263383333,0.307629,0.428987333,0.1732242,0.263905,0.562871333
160_271_16,245.6666667,0.569636333,0.169676333,20.9694,19966666.67,150.3333333,53.063,0.220669,0.304372667,0.474959,0.133840733,0.278458333,0.587700667
160_271_116,171.3333333,0.332790333,0.284831333,21.04983333,11626666.67,78,53.59573333,0.244269333,0.250142,0.505588333,0.096218267,0.305677333,0.598104333
160_271_410,267.3333333,0.377476333,0.242691667,22.9111,17200000,110,52.71616667,0.256224333,0.249417,0.494359,0.1303873,0.287993,0.581619667
160_271_63,144,0.406985333,0.200959333,25.323,18493333.33,39,55.25706667,0.218008333,0.247176333,0.534815333,0.103972433,0.262933333,0.633094333
160_271_140,125,0.514885667,0.211733667,25.52246667,11146666.67,40.33333333,53.436,0.256261,0.233178,0.510561333,0.151390667,0.270404333,0.578204667
160_271_400,186,0.383282333,0.16662,23.2363,18000000,74,56.39686667,0.201993667,0.245909333,0.552097,0.138427333,0.266892667,0.594679667
160_271_387,55.33333333,0.54841,0.207569,24.22193333,4376666.667,6,53.8989,0.226476333,0.285199,0.488324667,0.115333433,0.275987667,0.608679333
160_271_386,90.66666667,0.408117333,0.1334282,20.89173333,9296666.667,34,60.31183333,0.150699667,0.243745333,0.605555,0.0984192,0.295077,0.606504
160_271_61,206,0.386312333,0.218795333,26.74793333,25766666.67,115.3333333,55.84316667,0.215789,0.243370333,0.540840667,0.130786333,0.268622667,0.600591333
160_271_187,120.6666667,0.71117,0.155245,21.9403,10116666.67,47.66666667,51.58686667,0.243929333,0.319625333,0.436445333,0.133058467,0.269420333,0.597521
160_271_41,68.66666667,0.4376,0.185426667,27.75906667,18966666.67,28,61.48433333,0.156825667,0.191913,0.651261,0.0653308,0.288635333,0.646034
160_271_411,74,0.437390333,0.147025,20.7598,6000000,18,60.8175,0.147805333,0.240782333,0.611412667,0.0742732,0.274631333,0.651095333
160_271_306,168.3333333,0.687981,0.266282333,26.29076667,19533333.33,86.66666667,49.29733333,0.301889333,0.261064333,0.437046667,0.137410667,0.274159333,0.58843
160_271_361,145,0.41716,0.155977333,18.82806667,9733333.333,43,62.87746667,0.147271333,0.188388333,0.664340333,0.127918067,0.264966667,0.607115
160_271_56,227.3333333,0.502639333,0.180913,24.11383333,32166666.67,133,52.58323333,0.239487667,0.287852667,0.472659667,0.135226333,0.256892667,0.607880667
160_271_115,273,0.282242667,0.273101,19.5146,12596666.67,130,55.86806667,0.217047667,0.243310667,0.539641667,0.125481,0.271337667,0.603181333
160_271_332,321.6666667,0.626242,0.229139667,21.75526667,16066666.67,113,52.3351,0.231900333,0.297656333,0.470443333,0.1309512,0.260886667,0.608162
160_271_415,127,0.569999,0.099182,18.64526667,5563333.333,25,57.27106667,0.171662333,0.287160333,0.541177,0.150099333,0.252664,0.597236667
160_271_309,126.3333333,0.534633333,0.157051,22.23753333,10026666.67,68.66666667,57.95226667,0.170077,0.259818,0.570105,0.119356,0.241120333,0.639523
160_271_13,145,0.406383667,0.214278333,25.76263333,21466666.67,58.33333333,55.3446,0.221404,0.25019,0.528406333,0.124071367,0.254275,0.621653667
160_271_1,72,0.337494,0.186775,27.2687,8766666.667,15.66666667,58.22263333,0.184487667,0.236488333,0.579023667,0.1186536,0.274584,0.606762333
160_271_377,136.3333333,0.513854333,0.189964667,27.0182,16166666.67,43.33333333,55.3085,0.192006667,0.313554,0.494439667,0.115248667,0.255652,0.629099333
160_271_64,243.6666667,0.617068667,0.150317,23.8492,22366666.67,72.66666667,50.90043333,0.239593,0.331142667,0.429264333,0.128683333,0.249926,0.621391
160_271_384,58,0.307065333,0.177648,26.10903333,5740000,9.333333333,56.03096667,0.227770667,0.234466667,0.537762667,0.115832267,0.258267,0.625900667
160_271_154,82.33333333,0.528149667,0.147506667,27.14046667,10243333.33,13,56.7411,0.190746,0.261708333,0.547545667,0.111583833,0.235727333,0.652688333
160_271_327,161.6666667,0.369968,0.207391333,24.29983333,17266666.67,85,52.97076667,0.240147667,0.263512667,0.496339333,0.128231333,0.258142,0.613626667
160_271_308,84.33333333,0.425027333,0.199822333,34.33213333,23766666.67,20.33333333,58.3941,0.190943333,0.217014667,0.592042333,0.0732567,0.258744333,0.667999
160_271_358,127.3333333,0.536455333,0.159700333,25.02473333,21866666.67,48.33333333,58.9307,0.162440667,0.253087333,0.584471667,0.067787767,0.234444667,0.697767667
160_271_49,178,0.413756667,0.217424,25.05373333,19400000,76.66666667,52.8524,0.238128667,0.269104667,0.492767333,0.0973313,0.221843667,0.680825333
160_271_145,177.6666667,0.572976667,0.249119667,28.31003333,16900000,120.3333333,51.7376,0.23319,0.329416,0.437394,0.121458133,0.267372667,0.611169333
160_271_345,49.66666667,0.459459,0.189400667,27.9601,10433333.33,10,62.09763333,0.128280667,0.23198,0.639739333,0.033404867,0.204577333,0.762018
160_271_401,83.66666667,0.42585,0.243046667,31.17666667,11163333.33,15.66666667,57.64466667,0.196906,0.23968,0.563414,0.072989633,0.203141,0.723869333
160_271_37,129.3333333,0.404451,0.188647667,27.80413333,11580000,45,53.42633333,0.236380333,0.268966333,0.494653667,0.101830967,0.238337,0.659832
160_271_47,173,0.578585667,0.194901333,29.24163333,30900000,92.66666667,50.22166667,0.28773,0.266672,0.445598,0.092442833,0.204043,0.703514667
160_271_32,53.5,0.5858585,0.1740555,32.36415,7755000,5.5,52.13385,0.254787,0.2830085,0.4622045,0.0763558,0.2141815,0.709463
160_271_351,120.3333333,0.442957667,0.24464,28.35473333,12500000,39.33333333,51.3991,0.244029,0.311492667,0.444478667,0.106022333,0.218016,0.675961667
160_271_161,39.66666667,0.496473333,0.182752,31.59276667,8743333.333,7.333333333,59.74913333,0.158695333,0.238466667,0.602838,0.032451233,0.189058667,0.778490333
160_271_158,96,0.571751667,0.160553,23.62423333,11933333.33,25.33333333,57.31493333,0.162442667,0.301543,0.536013667,0.072562,0.210972333,0.716465667
160_271_348,144.3333333,0.446552667,0.201371667,30.20176667,13433333.33,25.66666667,52.02876667,0.262582667,0.274473667,0.462944,0.108758733,0.194978,0.696263
160_271_147,35,0.3067055,0.2596585,35.5277,8780000,3,64.81,0.13049,0.175982,0.6935285,0.0320394,0.1996606,0.7683
160_271_324,115.3333333,0.498550333,0.218914667,31.33996667,21666666.67,40.33333333,57.11076667,0.161508333,0.299028,0.539463667,0.0692159,0.166472667,0.764311
160_271_2,89.66666667,0.271224667,0.339596333,31.37513333,8426666.667,21.66666667,57.09093333,0.235689667,0.182359333,0.581951,0.140089367,0.300209667,0.559701333
160_271_408,57,0.438801,0.219186,32.07506667,6840000,6.333333333,58.6509,0.209586333,0.194976,0.595438,0.0826978,0.215153,0.702149333
160_271_406,87,0.292169,0.248858,36.8412,12600000,17,52.4113,0.24829,0.293215,0.458495,0.13459,0.224626,0.640784
160_271_330,71,0.367051667,0.330213333,45.4482,16033333.33,11.33333333,57.58546667,0.203584333,0.247048333,0.549367667,0.065215367,0.160076333,0.774708333
160_271_210,49.5,0.3836575,0.249138,41.0027,10850000,6,51.73325,0.275986,0.249012,0.4750015,0.0601193,0.257793,0.682087
160_271_217,157,0.409472333,0.275504667,36.02483333,15233333.33,41.33333333,55.23553333,0.228557667,0.222507667,0.548934667,0.104341133,0.266150333,0.629509
160_271_331,39.5,0.375041,0.3333385,51.52735,13000000,3,55.49105,0.2374565,0.225515,0.5370285,0.0444466,0.1345435,0.8210095
160_271_346,104.3333333,0.3435,0.356710333,45.10733333,11583333.33,23,57.4014,0.219297,0.201117,0.579586333,0.079943033,0.224303333,0.695753333
160_271_146,39.5,0.355032,0.494113,61.57815,15900000,6,49.26835,0.3167205,0.222437,0.4608425,0.046608,0.143371,0.8100205
160_271_329,45,0.23391,0.423351,54.18725,12850000,1,54.3407,0.258041,0.214764,0.5271955,0.06269405,0.181739,0.755567
160_271_403,34.66666667,0.483127667,0.3376864,53.9186,9293333.333,1.333333333,56.35293333,0.241971667,0.206531667,0.551497333,0.040255267,0.093027867,0.866716667
160_271_352,34.66666667,0.266009,0.389343333,54.83316667,11433333.33,1.666666667,54.9489,0.253122667,0.187773667,0.559104,0.073608133,0.171161,0.755231
160_271_215,32,0.324251,0.465915,72.9327,17400000,1,49.6279,0.309098,0.208054,0.482849,0.0279642,0.105145,0.86689
